Year,Medium,Count
1768.0,Black basalt with glazed interior,5
1805.0,Physionotrace engraving,1
1809.0,Physionotrace engraving,1
1811.0,Etched copper plate,1
1818.0,Wood engraving from an illustrated book with 323 wood engravings and one etching and engraving,323
1818.0,Illustrated book with 323 wood engravings and one etching and engraving,1
1832.0,Lithograph with hand coloring,2
1837.0,Etching,6
1837.0,Six etchings from an illustrated book with eight etchings (two in-text plates not included here),1
1840.0,Carbon print,6
1840.0,Etching,1
1840.0,Lithograph,1
1840.0,Photogravure,1
1841.0,Lithograph,2
1842.0,Daguerreotype (whole plate),1
1843.0,Carbon print,1
1843.0,Gelatin silver print,1
1843.0,Waxed paper negative,1
1844.0,Lithograph,3
1844.0,Gum platinum print from a waxed-paper negative,1
1844.0,Salted paper print from a calotype,1
1844.0,Salted paper print from a paper negative,1
1845.0,Salted paper print (photogram),1
1845.0,Salted paper print from a calotype,1
1847.0,Paper negative,5
1847.0,Color lithograph,1
1847.0,Salted paper print,1
1848.0,Salted paper print and paper negative,1
1849.0,Salted paper print from a paper negative,3
1849.0,Steel,1
1850.0,Salted paper print from a paper negative,2
1850.0,Calotype,1
1850.0,Collotype,1
1850.0,Lithograph with crayon additions,1
1851.0,Collotype,5
1851.0,Salted paper print from a waxed-paper negative,2
1851.0,Lithograph,1
1851.0,Photolithograph,1
1851.0,Salted paper print,1
1851.0,Waxed-paper negative,1
1852.0,Salted paper print from a glass negative,10
1852.0,"Calotype, printed 1937",4
1852.0,Salted paper print,4
1852.0,Albumen silver print,2
1852.0,Calotype,1
1852.0,Collotype,1
1852.0,Etching and engraving from an illustrated book with 323 wood engravings and one etching and engraving,1
1852.0,Letterpress,1
1852.0,Salted paper print from a paper negative,1
1852.0,"Salted paper print, printed 1979",1
1853.0,Albumen silver print,6
1853.0,Salted paper print,6
1853.0,Salted paper print from a glass negative,4
1853.0,Cyanotype (photogram),3
1853.0,Salted paper print from a paper negative,2
1853.0,Collotype,1
1853.0,"Photogravure (after cliché-verre by Corot, 1853), printed 1982",1
1854.0,"Photogravure, printed 1982",5
1854.0,Albumen silver print from a paper negative,3
1854.0,Calotype,3
1854.0,Albumen silver print,2
1854.0,Salted paper print from a paper negative,2
1854.0,Ambrotype,1
1854.0,Lithograph,1
1854.0,Physionotrace engraving,1
1854.0,Salted paper print,1
1855.0,Salted paper print,3
1855.0,"Photogravure, printed 1982",2
1855.0,Salted paper print from a glass-plate negative,2
1855.0,Salted paper print from a wet-collodion glass negative,2
1855.0,Albumen silver print,1
1855.0,Albumen silver print from a paper negative,1
1855.0,Etching,1
1856.0,Albumen silver print from a paper negative,14
1856.0,Salted paper print,5
1856.0,Albumen silver print,4
1856.0,Salted paper print from a glass negative,2
1856.0,Album with albumen silver and salted paper prints,1
1856.0,Albumen silver print from glass-plate negatives,1
1856.0,"Albumen silver print, printed 1864",1
1856.0,Etching,1
1856.0,Photolithograph,1
1856.0,Salted paper print from a waxed-paper negative,1
1857.0,Albumen silver print,87
1857.0,Albumen silver print from a wet-collodion glass negative,34
1857.0,Albumen silver print from a paper negative,14
1857.0,"Photogravure, printed 1982",4
1857.0,Albumen silver print from a glass negative,2
1857.0,Album of twenty seven albumen silver prints from wet-collodion negatives,1
1857.0,Albumen silver print from a waxed-paper negative,1
1857.0,Albumen silver print from a wet-collodion glass negatives,1
1857.0,Albumen silver print from wet collodion glass negative,1
1857.0,"Albumen silver print with watercolor, gouache, and gum",1
1858.0,Albumen silver print from a paper negative,13
1858.0,Albumen silver print,2
1858.0,Albumen silver print from a glass negative,2
1858.0,"Copper plate for etching, which has been steel faced",1
1858.0,"Graphite, cedar wood, rubber, and metal ferrule",1
1858.0,Salted paper print,1
1859.0,Albumen silver print from a paper negative,7
1859.0,Albumen silver print from a glass negative,2
1859.0,Albumen silver print,1
1859.0,Albumen silver print from a glass-plate negative,1
1859.0,Albumen silver print from a wet-collodion glass negative,1
1859.0,Book containing forty portrait photographs,1
1859.0,Daguerreotype,1
1860.0,Albumen silver print,24
1860.0,Salted paper print with applied color,8
1860.0,Albumen silver prints,3
1860.0,"Album with eight salted paper prints, hand-colored, from wet collodion on glass negatives",1
1860.0,Albumen silver print from a glass-plate negative,1
1860.0,Ambrotype,1
1860.0,Salted paper print from a glass negative (copy of a daguerreotype),1
1861.0,Albumen silver print,3
1861.0,Etching and roulette,2
1861.0,Albumen silver print from a glass negative,1
1861.0,Albumen silver print from a paper negative,1
1861.0,Collodion silver print,1
1861.0,Etching,1
1861.0,Lithograph,1
1861.0,"Salted paper print by Chicago Albumen Works from a wet-collodion glass negative, printed 1990",1
1862.0,Albumen silver print,2
1862.0,Albumen silver print from a wet-collodion glass negative,1
1862.0,Collodion silver print,1
1862.0,"Gelatin silver print, printed later",1
1863.0,Albumen silver print,4
1863.0,Albumen silver print from a glass negative,1
1863.0,Albumen silver print from a glass-plate negative,1
1863.0,Albumen silver print with ink and pencil on paper,1
1864.0,Albumen silver print,4
1864.0,Albumen silver print from a glass negative,3
1864.0,Albumen silver print (carte de visite),1
1864.0,Albumen silver print from a wet-collodion glass negative,1
1864.0,Fourteen albumen silver prints,1
1864.0,Lithograph,1
1864.0,"Photogravure by Paul Dujardin, printed by Charles Chardon, Sr., c. 1877",1
1865.0,Albumen silver print,43
1865.0,Albumen silver print from a wet-collodion glass negative,1
1865.0,Albumen silver prints,1
1865.0,"Charcoal, on colored paper",1
1865.0,Etching and drypoint,1
